answer	path	n
penal	[('soare', '00101', 68), ('canal', '00222', 1), ('penal', '22222', 1)]	3
joist	[('soare', '12000', 15), ('fubsy', '00020', 3), ('abmho', '00001', 1), ('joist', '22222', 1)]	4
bunny	[('soare', '00000', 183), ('clint', '00020', 2), ('abaca', '01000', 1), ('bunny', '22222', 1)]	4
shape	[('soare', '20202', 19), ('thilk', '02000', 4), ('amped', '10110', 1), ('shape', '22222', 1)]	4
beget	[('soare', '00001', 120), ('denet', '02022', 1), ('beget', '22222', 1)]	3
wheel	[('soare', '00001', 120), ('denet', '01020', 5), ('acerb', '00200', 1), ('wheel', '22222', 1)]	4
adept	[('soare', '00101', 68), ('canal', '01000', 4), ('aahed', '20011', 1), ('adept', '22222', 1)]	4
stunt	[('soare', '20000', 63), ('thilk', '10000', 5), ('grypt', '00002', 1), ('stunt', '22222', 1)]	4
stole	[('soare', '21002', 12), ('knelt', '00121', 1), ('stole', '22222', 1)]	3
topaz	[('soare', '02100', 21), ('liman', '00020', 2), ('aahed', '10000', 1), ('topaz', '22222', 1)]	4
chore	[('soare', '01022', 2), ('aahed', '00110', 1), ('chore', '22222', 1)]	3
fluke	[('soare', '00002', 79), ('guilt', '01010', 4), ('amped', '00010', 1), ('fluke', '22222', 1)]	4
afoot	[('soare', '01100', 44), ('cloot', '00222', 1), ('afoot', '22222', 1)]	3
bloat	[('soare', '01100', 44), ('cloot', '02202', 4), ('abaft', '11002', 1), ('bloat', '22222', 1)]	4
bully	[('soare', '00000', 183), ('clint', '01000', 8), ('bigly', '20022', 1), ('bully', '22222', 1)]	4
dense	[('soare', '10002', 8), ('cunit', '00200', 1), ('dense', '22222', 1)]	3
caper	[('soare', '00111', 61), ('talar', '02002', 15), ('pigmy', '10000', 1), ('caper', '22222', 1)]	4
sneer	[('soare', '20011', 13), ('newie', '11001', 1), ('sneer', '22222', 1)]	3
boxer	[('soare', '02011', 22), ('rewth', '11000', 9), ('clonk', '00100', 3), ('abaft', '01000', 1), ('boxer', '22222', 1)]	5
jumbo	[('soare', '01000', 56), ('clint', '00000', 4), ('agism', '00001', 1), ('jumbo', '22222', 1)]	4
lunge	[('soare', '00002', 79), ('guilt', '12010', 2), ('aalii', '00100', 1), ('lunge', '22222', 1)]	4
space	[('soare', '20202', 19), ('thilk', '00000', 3), ('ached', '11010', 1), ('space', '22222', 1)]	4
avail	[('soare', '00200', 40), ('clink', '01100', 2), ('aahed', '21000', 1), ('avail', '22222', 1)]	4
short	[('soare', '21020', 10), ('nicht', '00012', 1), ('short', '22222', 1)]	3
slurp	[('soare', '20020', 8), ('hault', '00210', 1), ('slurp', '22222', 1)]	3
loyal	[('soare', '02100', 21), ('liman', '20020', 2), ('abaca', '10000', 1), ('loyal', '22222', 1)]	4
flirt	[('soare', '00020', 13), ('fitch', '21100', 1), ('flirt', '22222', 1)]	3
pizza	[('soare', '00100', 138), ('clint', '00100', 6), ('aahed', '10000', 1), ('pizza', '22222', 1)]	4
conch	[('soare', '02000', 87), ('culty', '20000', 4), ('abmho', '00011', 1), ('conch', '22222', 1)]	4
tempo	[('soare', '01001', 25), ('lento', '02012', 1), ('tempo', '22222', 1)]	3
droop	[('soare', '01010', 59), ('cutin', '00000', 12), ('gloop', '00222', 1), ('droop', '22222', 1)]	4
plate	[('soare', '00202', 28), ('glitz', '02020', 2), ('abamp', '00201', 1), ('plate', '22222', 1)]	4
bible	[('soare', '00002', 79), ('guilt', '00120', 1), ('bible', '22222', 1)]	3
plunk	[('soare', '00000', 183), ('clint', '02020', 3), ('apage', '01000', 1), ('plunk', '22222', 1)]	4
afoul	[('soare', '01100', 44), ('cloot', '01200', 2), ('aahed', '20000', 1), ('afoul', '22222', 1)]	4
savoy	[('soare', '21100', 4), ('ablow', '10020', 1), ('savoy', '22222', 1)]	3
steep	[('soare', '20001', 35), ('clipt', '00011', 2), ('aahed', '00020', 1), ('steep', '22222', 1)]	4
agile	[('soare', '00102', 40), ('gault', '11020', 2), ('aalii', '20110', 1), ('agile', '22222', 1)]	4
stake	[('soare', '20202', 19), ('thilk', '10001', 2), ('aarti', '10010', 1), ('stake', '22222', 1)]	4
dwell	[('soare', '00001', 120), ('denet', '21000', 1), ('dwell', '22222', 1)]	3
knave	[('soare', '00202', 28), ('glitz', '00000', 8), ('cawks', '01010', 1), ('knave', '22222', 1)]	4
beard	[('soare', '00221', 9), ('lathy', '01000', 2), ('aahed', '10012', 1), ('beard', '22222', 1)]	4
arose	[('soare', '11112', 1), ('arose', '22222', 1)]	2
motif	[('soare', '02000', 87), ('culty', '00010', 5), ('compt', '02101', 1), ('motif', '22222', 1)]	4
smash	[('soare', '20200', 41), ('thilk', '01000', 2), ('abamp', '00210', 1), ('smash', '22222', 1)]	4
broil	[('soare', '01010', 59), ('cutin', '00020', 1), ('broil', '22222', 1)]	3
glare	[('soare', '00222', 4), ('abaft', '00200', 1), ('glare', '22222', 1)]	3
shove	[('soare', '21002', 12), ('knelt', '00100', 2), ('aahed', '00110', 1), ('shove', '22222', 1)]	4
baggy	[('soare', '00100', 138), ('clint', '00000', 15), ('midgy', '00022', 1), ('baggy', '22222', 1)]	4
mammy	[('soare', '00100', 138), ('clint', '00000', 15), ('midgy', '20002', 1), ('mammy', '22222', 1)]	4
swamp	[('soare', '20200', 41), ('thilk', '00000', 4), ('aswim', '11101', 1), ('swamp', '22222', 1)]	4
along	[('soare', '01100', 44), ('cloot', '02200', 2), ('aahed', '20000', 1), ('along', '22222', 1)]	4
rugby	[('soare', '00010', 57), ('glint', '10000', 1), ('rugby', '22222', 1)]	3
wager	[('soare', '00111', 61), ('talar', '02002', 15), ('pigmy', '00200', 2), ('abcee', '10020', 1), ('wager', '22222', 1)]	5
quack	[('soare', '00200', 40), ('clink', '10002', 3), ('aahed', '10000', 1), ('quack', '22222', 1)]	4
squat	[('soare', '20100', 19), ('dault', '01202', 1), ('squat', '22222', 1)]	3
snaky	[('soare', '20200', 41), ('thilk', '00001', 1), ('snaky', '22222', 1)]	3
debit	[('soare', '00001', 120), ('denet', '22002', 2), ('aalii', '00020', 1), ('debit', '22222', 1)]	4
mange	[('soare', '00102', 40), ('gault', '12000', 2), ('aahed', '02010', 1), ('mange', '22222', 1)]	4
skate	[('soare', '20202', 19), ('thilk', '10001', 2), ('aarti', '10020', 1), ('skate', '22222', 1)]	4
ninth	[('soare', '00000', 183), ('clint', '00111', 2), ('aahed', '00100', 1), ('ninth', '22222', 1)]	4
joust	[('soare', '12000', 15), ('fubsy', '01020', 1), ('joust', '22222', 1)]	3
tramp	[('soare', '00210', 40), ('clint', '00001', 2), ('aahed', '10000', 1), ('tramp', '22222', 1)]	4
spurn	[('soare', '20020', 8), ('hault', '00200', 1), ('spurn', '22222', 1)]	3
medal	[('soare', '00101', 68), ('canal', '00022', 8), ('dempt', '12100', 1), ('medal', '22222', 1)]	4
micro	[('soare', '01020', 8), ('acidy', '01100', 1), ('micro', '22222', 1)]	3
rebel	[('soare', '00011', 117), ('direr', '00120', 11), ('pence', '02001', 2), ('abaca', '01000', 1), ('rebel', '22222', 1)]	5
flank	[('soare', '00200', 40), ('clink', '02022', 3), ('abaft', '00210', 1), ('flank', '22222', 1)]	4
learn	[('soare', '00221', 9), ('lathy', '21000', 1), ('learn', '22222', 1)]	3
nadir	[('soare', '00110', 42), ('riyal', '11010', 3), ('aahed', '02001', 1), ('nadir', '22222', 1)]	4
maple	[('soare', '00102', 40), ('gault', '02020', 4), ('becap', '01011', 1), ('maple', '22222', 1)]	4
comfy	[('soare', '02000', 87), ('culty', '20002', 1), ('comfy', '22222', 1)]	3
remit	[('soare', '00011', 117), ('direr', '01110', 4), ('acmic', '00220', 1), ('remit', '22222', 1)]	4
gruff	[('soare', '00010', 57), ('glint', '20000', 1), ('gruff', '22222', 1)]	3
ester	[('soare', '10011', 15), ('richt', '10001', 1), ('ester', '22222', 1)]	3
least	[('soare', '10201', 5), ('bufty', '00010', 1), ('least', '22222', 1)]	3
mogul	[('soare', '02000', 87), ('culty', '01100', 2), ('aahed', '00000', 1), ('mogul', '22222', 1)]	4
fetch	[('soare', '00001', 120), ('denet', '02001', 5), ('aleph', '00102', 1), ('fetch', '22222', 1)]	4
cause	[('soare', '10102', 15), ('thump', '00200', 2), ('aahed', '02010', 1), ('cause', '22222', 1)]	4
oaken	[('soare', '01101', 4), ('abcee', '10020', 1), ('oaken', '22222', 1)]	3
aglow	[('soare', '01100', 44), ('cloot', '01020', 1), ('aglow', '22222', 1)]	3
meaty	[('soare', '00201', 21), ('depth', '02020', 1), ('meaty', '22222', 1)]	3
gaffe	[('soare', '00102', 40), ('gault', '22000', 1), ('gaffe', '22222', 1)]	3
shyly	[('soare', '20000', 63), ('thilk', '02020', 1), ('shyly', '22222', 1)]	3
racer	[('soare', '00111', 61), ('talar', '02002', 15), ('pigmy', '00000', 5), ('barca', '02110', 1), ('racer', '22222', 1)]	5
prowl	[('soare', '01010', 59), ('cutin', '00000', 12), ('gloop', '01201', 1), ('prowl', '22222', 1)]	4
thief	[('soare', '00001', 120), ('denet', '00021', 1), ('thief', '22222', 1)]	3
stern	[('soare', '20021', 2), ('aarti', '00110', 1), ('stern', '22222', 1)]	3
poesy	[('soare', '12001', 2), ('aahed', '00010', 1), ('poesy', '22222', 1)]	3
rocky	[('soare', '02010', 26), ('cyton', '11010', 1), ('rocky', '22222', 1)]	3
tweet	[('soare', '00001', 120), ('denet', '01022', 2), ('aalii', '00000', 1), ('tweet', '22222', 1)]	4
waist	[('soare', '10100', 23), ('linty', '01010', 1), ('waist', '22222', 1)]	3
spire	[('soare', '20022', 2), ('aahed', '00010', 1), ('spire', '22222', 1)]	3
grope	[('soare', '01012', 14), ('pownd', '11000', 2), ('aargh', '00110', 1), ('grope', '22222', 1)]	4
havoc	[('soare', '01100', 44), ('cloot', '10020', 2), ('aahed', '02100', 1), ('havoc', '22222', 1)]	4
patsy	[('soare', '10100', 23), ('linty', '00012', 1), ('patsy', '22222', 1)]	3
truly	[('soare', '00010', 57), ('glint', '01001', 1), ('truly', '22222', 1)]	3
forty	[('soare', '02010', 26), ('cyton', '01110', 1), ('forty', '22222', 1)]	3
deity	[('soare', '00001', 120), ('denet', '22001', 2), ('aahed', '00011', 1), ('deity', '22222', 1)]	4
uncle	[('soare', '00002', 79), ('guilt', '01020', 1), ('uncle', '22222', 1)]	3
swish	[('soare', '20000', 63), ('thilk', '01200', 1), ('swish', '22222', 1)]	3
giver	[('soare', '00011', 117), ('direr', '02022', 13), ('flong', '00001', 2), ('aarti', '00101', 1), ('giver', '22222', 1)]	5
preen	[('soare', '00011', 117), ('direr', '00120', 11), ('pence', '21101', 1), ('preen', '22222', 1)]	4
bevel	[('soare', '00001', 120), ('denet', '02020', 4), ('bavin', '20200', 1), ('bevel', '22222', 1)]	4
lemur	[('soare', '00011', 117), ('direr', '00012', 2), ('aalii', '00100', 1), ('lemur', '22222', 1)]	4
draft	[('soare', '00210', 40), ('clint', '00002', 2), ('aahed', '10001', 1), ('draft', '22222', 1)]	4
slope	[('soare', '21002', 12), ('knelt', '00110', 1), ('slope', '22222', 1)]	3
annoy	[('soare', '01100', 44), ('cloot', '00020', 5), ('aboon', '20021', 1), ('annoy', '22222', 1)]	4
lingo	[('soare', '01000', 56), ('clint', '01110', 1), ('lingo', '22222', 1)]	3
bleak	[('soare', '00101', 68), ('canal', '00021', 6), ('bated', '21010', 1), ('bleak', '22222', 1)]	4
ditty	[('soare', '00000', 183), ('clint', '00101', 9), ('wifty', '02022', 3), ('abaka', '00000', 1), ('ditty', '22222', 1)]	5
curly	[('soare', '00010', 57), ('glint', '01000', 5), ('bardy', '00202', 1), ('curly', '22222', 1)]	4
cedar	[('soare', '00111', 61), ('talar', '00022', 3), ('aband', '10001', 1), ('cedar', '22222', 1)]	4
dirge	[('soare', '00012', 39), ('pudic', '00110', 3), ('abies', '00110', 1), ('dirge', '22222', 1)]	4
grown	[('soare', '01010', 59), ('cutin', '00002', 4), ('befog', '00011', 1), ('grown', '22222', 1)]	4
horde	[('soare', '02012', 9), ('faugh', '00001', 1), ('horde', '22222', 1)]	3
drool	[('soare', '01010', 59), ('cutin', '00000', 12), ('gloop', '01220', 1), ('drool', '22222', 1)]	4
shuck	[('soare', '20000', 63), ('thilk', '02002', 1), ('shuck', '22222', 1)]	3
crypt	[('soare', '00010', 57), ('glint', '00002', 1), ('crypt', '22222', 1)]	3
cumin	[('soare', '00000', 183), ('clint', '20110', 3), ('abmho', '00200', 1), ('cumin', '22222', 1)]	4
stock	[('soare', '21000', 37), ('cloot', '10201', 2), ('aalii', '00000', 1), ('stock', '22222', 1)]	4
gravy	[('soare', '00210', 40), ('clint', '00000', 4), ('aahed', '10000', 1), ('gravy', '22222', 1)]	4
locus	[('soare', '12000', 15), ('fubsy', '01010', 1), ('locus', '22222', 1)]	3
wider	[('soare', '00011', 117), ('direr', '12022', 2), ('abaca', '00000', 1), ('wider', '22222', 1)]	4
breed	[('soare', '00011', 117), ('direr', '10120', 4), ('befog', '21000', 1), ('breed', '22222', 1)]	4
quite	[('soare', '00002', 79), ('guilt', '02201', 1), ('quite', '22222', 1)]	3
chafe	[('soare', '00202', 28), ('glitz', '00000', 8), ('cawks', '21000', 1), ('chafe', '22222', 1)]	4
cache	[('soare', '00102', 40), ('gault', '02000', 7), ('amnic', '10001', 1), ('cache', '22222', 1)]	4
blimp	[('soare', '00000', 183), ('clint', '02200', 1), ('blimp', '22222', 1)]	3
deign	[('soare', '00001', 120), ('denet', '22100', 1), ('deign', '22222', 1)]	3
fiend	[('soare', '00001', 120), ('denet', '11100', 2), ('aalii', '00010', 1), ('fiend', '22222', 1)]	4
logic	[('soare', '02000', 87), ('culty', '10100', 1), ('logic', '22222', 1)]	3
cheap	[('soare', '00101', 68), ('canal', '20020', 2), ('aarti', '10000', 1), ('cheap', '22222', 1)]	4
elide	[('soare', '00002', 79), ('guilt', '00210', 1), ('elide', '22222', 1)]	3
rigid	[('soare', '00010', 57), ('glint', '10100', 1), ('rigid', '22222', 1)]	3
false	[('soare', '10102', 15), ('thump', '00000', 3), ('aahed', '02010', 1), ('false', '22222', 1)]	4
renal	[('soare', '00111', 61), ('talar', '00121', 3), ('aargh', '10100', 1), ('renal', '22222', 1)]	4
pence	[('soare', '00002', 79), ('guilt', '00000', 6), ('cheep', '10111', 1), ('pence', '22222', 1)]	4
rowdy	[('soare', '02010', 26), ('cyton', '01010', 3), ('abram', '00100', 1), ('rowdy', '22222', 1)]	4
shoot	[('soare', '21000', 37), ('cloot', '00222', 1), ('shoot', '22222', 1)]	3
blaze	[('soare', '00202', 28), ('glitz', '02001', 1), ('blaze', '22222', 1)]	3
envoy	[('soare', '01001', 25), ('lento', '01101', 4), ('avows', '01100', 1), ('envoy', '22222', 1)]	4
posse	[('soare', '12002', 11), ('pilum', '20000', 1), ('posse', '22222', 1)]	3
brief	[('soare', '00011', 117), ('direr', '01120', 2), ('aargh', '00100', 1), ('brief', '22222', 1)]	4
never	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '00000', 5), ('avens', '01110', 1), ('never', '22222', 1)]	5
abort	[('soare', '01120', 6), ('abaca', '22000', 1), ('abort', '22222', 1)]	3
mouse	[('soare', '12002', 11), ('pilum', '00011', 1), ('mouse', '22222', 1)]	3
mucky	[('soare', '00000', 183), ('clint', '10000', 2), ('aahed', '00000', 1), ('mucky', '22222', 1)]	4
sulky	[('soare', '20000', 63), ('thilk', '00011', 1), ('sulky', '22222', 1)]	3
fiery	[('soare', '00021', 14), ('feted', '21000', 1), ('fiery', '22222', 1)]	3
media	[('soare', '00101', 68), ('canal', '01000', 4), ('aahed', '10011', 1), ('media', '22222', 1)]	4
trunk	[('soare', '00010', 57), ('glint', '00021', 1), ('trunk', '22222', 1)]	3
yeast	[('soare', '10201', 5), ('bufty', '00011', 1), ('yeast', '22222', 1)]	3
clear	[('soare', '00111', 61), ('talar', '00122', 1), ('clear', '22222', 1)]	3
skunk	[('soare', '20000', 63), ('thilk', '00002', 3), ('akene', '02020', 1), ('skunk', '22222', 1)]	4
scalp	[('soare', '20200', 41), ('thilk', '00020', 4), ('acidy', '12000', 1), ('scalp', '22222', 1)]	4
bitty	[('soare', '00000', 183), ('clint', '00101', 9), ('wifty', '02022', 3), ('abaka', '01000', 1), ('bitty', '22222', 1)]	5
cider	[('soare', '00011', 117), ('direr', '12022', 2), ('abaca', '00010', 1), ('cider', '22222', 1)]	4
koala	[('soare', '02200', 5), ('acyls', '10020', 1), ('koala', '22222', 1)]	3
duvet	[('soare', '00001', 120), ('denet', '20022', 1), ('duvet', '22222', 1)]	3
segue	[('soare', '20002', 23), ('pling', '00001', 1), ('segue', '22222', 1)]	3
creme	[('soare', '00012', 39), ('pudic', '00001', 1), ('creme', '22222', 1)]	3
super	[('soare', '20011', 13), ('newie', '01000', 2), ('aargh', '00100', 1), ('super', '22222', 1)]	4
grill	[('soare', '00010', 57), ('glint', '21200', 1), ('grill', '22222', 1)]	3
after	[('soare', '00111', 61), ('talar', '11002', 1), ('after', '22222', 1)]	3
owner	[('soare', '01011', 13), ('trued', '01020', 2), ('abaft', '00000', 1), ('owner', '22222', 1)]	4
ember	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '10000', 1), ('ember', '22222', 1)]	4
reach	[('soare', '00211', 4), ('ached', '11110', 1), ('reach', '22222', 1)]	3
nobly	[('soare', '02000', 87), ('culty', '00102', 6), ('adown', '00101', 1), ('nobly', '22222', 1)]	4
empty	[('soare', '00001', 120), ('denet', '01001', 3), ('aalii', '00000', 1), ('empty', '22222', 1)]	4
speed	[('soare', '20001', 35), ('clipt', '00010', 4), ('aahed', '00022', 1), ('speed', '22222', 1)]	4
gipsy	[('soare', '10000', 33), ('hists', '02100', 1), ('gipsy', '22222', 1)]	3
recur	[('soare', '00011', 117), ('direr', '00112', 1), ('recur', '22222', 1)]	3
smock	[('soare', '21000', 37), ('cloot', '10200', 3), ('abmho', '00101', 1), ('smock', '22222', 1)]	4
dread	[('soare', '00111', 61), ('talar', '00021', 11), ('becke', '01000', 2), ('aahed', '10012', 1), ('dread', '22222', 1)]	5
merge	[('soare', '00012', 39), ('pudic', '00000', 6), ('bevvy', '02000', 1), ('merge', '22222', 1)]	4
burst	[('soare', '10010', 16), ('cruft', '01102', 1), ('burst', '22222', 1)]	3
kappa	[('soare', '00100', 138), ('clint', '00000', 15), ('midgy', '00000', 1), ('kappa', '22222', 1)]	4
amity	[('soare', '00100', 138), ('clint', '00201', 2), ('aahed', '20000', 1), ('amity', '22222', 1)]	4
shaky	[('soare', '20200', 41), ('thilk', '02001', 1), ('shaky', '22222', 1)]	3
hover	[('soare', '02011', 22), ('rewth', '11001', 2), ('abamp', '00000', 1), ('hover', '22222', 1)]	4
carol	[('soare', '01110', 27), ('maron', '02220', 2), ('aalii', '02100', 1), ('carol', '22222', 1)]	4
snort	[('soare', '21020', 10), ('nicht', '10002', 1), ('snort', '22222', 1)]	3
synod	[('soare', '21000', 37), ('cloot', '00020', 1), ('synod', '22222', 1)]	3
faint	[('soare', '00100', 138), ('clint', '00222', 3), ('attap', '11000', 1), ('faint', '22222', 1)]	4
haunt	[('soare', '00100', 138), ('clint', '00022', 6), ('tavah', '12001', 1), ('haunt', '22222', 1)]	4
flour	[('soare', '01010', 59), ('cutin', '01000', 3), ('abamp', '00000', 1), ('flour', '22222', 1)]	4
chair	[('soare', '00210', 40), ('clint', '20100', 1), ('chair', '22222', 1)]	3
detox	[('soare', '01001', 25), ('lento', '02011', 2), ('abaft', '00001', 1), ('detox', '22222', 1)]	4
shrew	[('soare', '20011', 13), ('newie', '01100', 2), ('aahed', '00120', 1), ('shrew', '22222', 1)]	4
tense	[('soare', '10002', 8), ('cunit', '00201', 1), ('tense', '22222', 1)]	3
plied	[('soare', '00001', 120), ('denet', '10020', 2), ('aalii', '00110', 1), ('plied', '22222', 1)]	4
quark	[('soare', '00220', 13), ('dhuti', '00100', 1), ('quark', '22222', 1)]	3
burly	[('soare', '00010', 57), ('glint', '01000', 5), ('bardy', '20202', 1), ('burly', '22222', 1)]	4
novel	[('soare', '02001', 26), ('meynt', '01010', 5), ('navew', '20220', 1), ('novel', '22222', 1)]	4
waxen	[('soare', '00101', 68), ('canal', '02100', 4), ('aitch', '10000', 1), ('waxen', '22222', 1)]	4
stoic	[('soare', '21000', 37), ('cloot', '10201', 2), ('aalii', '00020', 1), ('stoic', '22222', 1)]	4
jerky	[('soare', '00011', 117), ('direr', '00210', 5), ('becap', '02000', 1), ('jerky', '22222', 1)]	4
blitz	[('soare', '00000', 183), ('clint', '02201', 1), ('blitz', '22222', 1)]	3
beefy	[('soare', '00001', 120), ('denet', '02010', 4), ('abaca', '01000', 1), ('beefy', '22222', 1)]	4
lyric	[('soare', '00010', 57), ('glint', '01100', 2), ('aahed', '00000', 1), ('lyric', '22222', 1)]	4
hussy	[('soare', '10000', 33), ('hists', '20201', 1), ('hussy', '22222', 1)]	3
towel	[('soare', '02001', 26), ('meynt', '01001', 2), ('aahed', '00020', 1), ('towel', '22222', 1)]	4
quilt	[('soare', '00000', 183), ('clint', '01202', 3), ('baghs', '00000', 1), ('quilt', '22222', 1)]	4
below	[('soare', '01001', 25), ('lento', '12001', 1), ('below', '22222', 1)]	3
bingo	[('soare', '01000', 56), ('clint', '00110', 3), ('abbas', '01000', 1), ('bingo', '22222', 1)]	4
wispy	[('soare', '10000', 33), ('hists', '02200', 1), ('wispy', '22222', 1)]	3
brash	[('soare', '10210', 7), ('bachs', '21011', 1), ('brash', '22222', 1)]	3
scone	[('soare', '21002', 12), ('knelt', '01100', 2), ('aahed', '00010', 1), ('scone', '22222', 1)]	4
toast	[('soare', '12200', 3), ('abaca', '00200', 1), ('toast', '22222', 1)]	3
easel	[('soare', '10101', 5), ('ajwan', '10000', 1), ('easel', '22222', 1)]	3
saucy	[('soare', '20100', 19), ('dault', '02200', 2), ('aahed', '02000', 1), ('saucy', '22222', 1)]	4
value	[('soare', '00102', 40), ('gault', '02110', 1), ('value', '22222', 1)]	3
spice	[('soare', '20002', 23), ('pling', '10200', 3), ('aceta', '01100', 1), ('spice', '22222', 1)]	4
honor	[('soare', '02010', 26), ('cyton', '00021', 2), ('aahed', '00100', 1), ('honor', '22222', 1)]	4
route	[('soare', '02012', 9), ('faugh', '00200', 1), ('route', '22222', 1)]	3
sharp	[('soare', '20220', 11), ('kempt', '00010', 1), ('sharp', '22222', 1)]	3
bawdy	[('soare', '00100', 138), ('clint', '00000', 15), ('midgy', '00102', 1), ('bawdy', '22222', 1)]	4
radii	[('soare', '00110', 42), ('riyal', '21010', 4), ('abaci', '10002', 1), ('radii', '22222', 1)]	4
skull	[('soare', '20000', 63), ('thilk', '00021', 1), ('skull', '22222', 1)]	3
phony	[('soare', '01000', 56), ('clint', '00020', 1), ('phony', '22222', 1)]	3
issue	[('soare', '10002', 8), ('cunit', '01010', 1), ('issue', '22222', 1)]	3
lager	[('soare', '00111', 61), ('talar', '02102', 2), ('aargh', '02110', 1), ('lager', '22222', 1)]	4
swell	[('soare', '20001', 35), ('clipt', '01000', 4), ('fehme', '01000', 1), ('swell', '22222', 1)]	4
urine	[('soare', '00012', 39), ('pudic', '01010', 1), ('urine', '22222', 1)]	3
gassy	[('soare', '10100', 23), ('linty', '00002', 2), ('aahed', '02000', 1), ('gassy', '22222', 1)]	4
trial	[('soare', '00110', 42), ('riyal', '11022', 1), ('trial', '22222', 1)]	3
flora	[('soare', '01120', 6), ('abaca', '00002', 1), ('flora', '22222', 1)]	3
upper	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '01000', 1), ('upper', '22222', 1)]	4
latch	[('soare', '00100', 138), ('clint', '11001', 1), ('latch', '22222', 1)]	3
wight	[('soare', '00000', 183), ('clint', '00102', 5), ('aswim', '00110', 1), ('wight', '22222', 1)]	4
brick	[('soare', '00010', 57), ('glint', '00200', 5), ('bacca', '20020', 1), ('brick', '22222', 1)]	4
retry	[('soare', '00021', 14), ('feted', '02200', 1), ('retry', '22222', 1)]	3
holly	[('soare', '02000', 87), ('culty', '00202', 6), ('defog', '00010', 2), ('aahed', '00100', 1), ('holly', '22222', 1)]	5
decal	[('soare', '00101', 68), ('canal', '10022', 2), ('aahed', '10011', 1), ('decal', '22222', 1)]	4
grass	[('soare', '10210', 7), ('bachs', '01002', 1), ('grass', '22222', 1)]	3
shack	[('soare', '20200', 41), ('thilk', '02002', 2), ('abaca', '00220', 1), ('shack', '22222', 1)]	4
dogma	[('soare', '02100', 21), ('liman', '00110', 2), ('aahed', '10001', 1), ('dogma', '22222', 1)]	4
mover	[('soare', '02011', 22), ('rewth', '11000', 9), ('clonk', '00100', 3), ('abaft', '00000', 1), ('mover', '22222', 1)]	5
defer	[('soare', '00011', 117), ('direr', '20022', 2), ('aarti', '00100', 1), ('defer', '22222', 1)]	4
sober	[('soare', '22011', 2), ('abaca', '01000', 1), ('sober', '22222', 1)]	3
optic	[('soare', '01000', 56), ('clint', '10101', 1), ('optic', '22222', 1)]	3
crier	[('soare', '00011', 117), ('direr', '01122', 1), ('crier', '22222', 1)]	3
vying	[('soare', '00000', 183), ('clint', '00220', 3), ('aahed', '00000', 1), ('vying', '22222', 1)]	4
nomad	[('soare', '02100', 21), ('liman', '00221', 1), ('nomad', '22222', 1)]	3
flute	[('soare', '00002', 79), ('guilt', '01011', 1), ('flute', '22222', 1)]	3
hippo	[('soare', '01000', 56), ('clint', '00100', 3), ('aahed', '00100', 1), ('hippo', '22222', 1)]	4
shark	[('soare', '20220', 11), ('kempt', '10000', 1), ('shark', '22222', 1)]	3
drier	[('soare', '00011', 117), ('direr', '21122', 1), ('drier', '22222', 1)]	3
obese	[('soare', '11002', 5), ('aitch', '00000', 1), ('obese', '22222', 1)]	3
bugle	[('soare', '00002', 79), ('guilt', '12020', 1), ('bugle', '22222', 1)]	3
tawny	[('soare', '00100', 138), ('clint', '00021', 1), ('tawny', '22222', 1)]	3
chalk	[('soare', '00200', 40), ('clink', '21002', 1), ('chalk', '22222', 1)]	3
feast	[('soare', '10201', 5), ('bufty', '00110', 1), ('feast', '22222', 1)]	3
ruddy	[('soare', '00010', 57), ('glint', '00000', 5), ('abram', '00100', 1), ('ruddy', '22222', 1)]	4
pedal	[('soare', '00101', 68), ('canal', '00022', 8), ('dempt', '12010', 1), ('pedal', '22222', 1)]	4
scarf	[('soare', '20220', 11), ('kempt', '00000', 4), ('acidy', '12000', 1), ('scarf', '22222', 1)]	4
cruel	[('soare', '00011', 117), ('direr', '00120', 11), ('pence', '01010', 1), ('cruel', '22222', 1)]	4
bleat	[('soare', '00101', 68), ('canal', '00021', 6), ('bated', '21110', 1), ('bleat', '22222', 1)]	4
tidal	[('soare', '00100', 138), ('clint', '01101', 2), ('aahed', '10001', 1), ('tidal', '22222', 1)]	4
slush	[('soare', '20000', 63), ('thilk', '01010', 1), ('slush', '22222', 1)]	3
semen	[('soare', '20001', 35), ('clipt', '00000', 4), ('adeem', '00121', 1), ('semen', '22222', 1)]	4
windy	[('soare', '00000', 183), ('clint', '00110', 8), ('dampy', '10002', 1), ('windy', '22222', 1)]	4
dusty	[('soare', '10000', 33), ('hists', '00220', 4), ('algid', '00001', 1), ('dusty', '22222', 1)]	4
sally	[('soare', '20100', 19), ('dault', '02020', 1), ('sally', '22222', 1)]	3
igloo	[('soare', '01000', 56), ('clint', '01100', 2), ('aalii', '00210', 1), ('igloo', '22222', 1)]	4
nerdy	[('soare', '00011', 117), ('direr', '10210', 1), ('nerdy', '22222', 1)]	3
jewel	[('soare', '00001', 120), ('denet', '02020', 4), ('bavin', '00000', 1), ('jewel', '22222', 1)]	4
