answer	path	n
badly	[('soare', '00100', 138), ('clint', '01000', 12), ('dampy', '12002', 1), ('badly', '22222', 1)]	4
smart	[('soare', '20220', 11), ('kempt', '00102', 1), ('smart', '22222', 1)]	3
pithy	[('soare', '00000', 183), ('clint', '00101', 9), ('wifty', '02012', 1), ('pithy', '22222', 1)]	4
gaudy	[('soare', '00100', 138), ('clint', '00000', 15), ('midgy', '00112', 1), ('gaudy', '22222', 1)]	4
chill	[('soare', '00000', 183), ('clint', '21200', 3), ('aduki', '00001', 1), ('chill', '22222', 1)]	4
heron	[('soare', '01011', 13), ('trued', '01010', 1), ('heron', '22222', 1)]	3
vodka	[('soare', '02100', 21), ('liman', '00010', 2), ('aahed', '10001', 1), ('vodka', '22222', 1)]	4
finer	[('soare', '00011', 117), ('direr', '02022', 13), ('flong', '20010', 1), ('finer', '22222', 1)]	4
surer	[('soare', '20011', 13), ('newie', '01000', 2), ('aargh', '00200', 1), ('surer', '22222', 1)]	4
radio	[('soare', '01110', 27), ('maron', '02110', 2), ('aahed', '02001', 1), ('radio', '22222', 1)]	4
rouge	[('soare', '02012', 9), ('faugh', '00220', 1), ('rouge', '22222', 1)]	3
perch	[('soare', '00011', 117), ('direr', '00210', 5), ('becap', '02101', 1), ('perch', '22222', 1)]	4
retch	[('soare', '00011', 117), ('direr', '00110', 8), ('becke', '02100', 1), ('retch', '22222', 1)]	4
wrote	[('soare', '01012', 14), ('pownd', '01100', 1), ('wrote', '22222', 1)]	3
clock	[('soare', '01000', 56), ('clint', '22000', 2), ('aahed', '00000', 1), ('clock', '22222', 1)]	4
tilde	[('soare', '00002', 79), ('guilt', '00111', 2), ('aahed', '00011', 1), ('tilde', '22222', 1)]	4
store	[('soare', '21022', 6), ('cwtch', '00100', 1), ('store', '22222', 1)]	3
prove	[('soare', '01012', 14), ('pownd', '21000', 2), ('abaca', '00000', 1), ('prove', '22222', 1)]	4
bring	[('soare', '00010', 57), ('glint', '10220', 2), ('abaca', '01000', 1), ('bring', '22222', 1)]	4
solve	[('soare', '22002', 1), ('solve', '22222', 1)]	2
cheat	[('soare', '00101', 68), ('canal', '20020', 2), ('aarti', '10010', 1), ('cheat', '22222', 1)]	4
grime	[('soare', '00012', 39), ('pudic', '00010', 7), ('timbo', '01100', 1), ('grime', '22222', 1)]	4
exult	[('soare', '00001', 120), ('denet', '01002', 5), ('agila', '00020', 1), ('exult', '22222', 1)]	4
usher	[('soare', '10011', 15), ('richt', '10010', 2), ('aahed', '00220', 1), ('usher', '22222', 1)]	4
